Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Visibility_MeanRatio,Item_Type_Combined,Outlet_Years
FDF09,6.215,Low Fat,0.012217624,Fruits and Vegetables,37.7848,OUT017,2007,Small,Tier 2,Supermarket Type1,0.8199508085960622,Food,6
FDP45,15.7,Regular,0.030749596,Snack Foods,250.6724,OUT018,2009,Medium,Tier 3,Supermarket Type2,0.8448378509913805,Food,4
DRJ23,18.35,Low Fat,0.041838623,Hard Drinks,187.1872,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.0027100905553223,Drinks,4
FDS59,14.8,Regular,0.044141726,Breads,111.15700000000001,OUT017,2007,Small,Tier 2,Supermarket Type1,1.0032449029223505,Food,6
FDY08,9.395,Regular,0.17107522100000003,Fruits and Vegetables,138.9838,OUT046,1997,Small,Tier 1,Supermarket Type1,0.8881680948373012,Food,16
FDX16,17.85,Low Fat,0.065912362,Frozen Foods,147.805,OUT049,1999,Medium,Tier 1,Supermarket Type1,1.000764593594993,Food,14
FDY16,18.35,Regular,0.09260244599999999,Frozen Foods,184.7266,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.171517467102276,Food,4
FDK32,16.25,Regular,0.06568385968808309,Fruits and Vegetables,152.8682,OUT035,2004,Small,Tier 2,Supermarket Type1,1.1001612635901814,Food,9
FDQ22,16.75,Low Fat,0.029714904,Snack Foods,39.3822,OUT013,1987,High,Tier 3,Supermarket Type1,0.9974305649131989,Food,26
NCC31,8.02,Non-Edible,0.019951406,Household,155.9972,OUT018,2009,Medium,Tier 3,Supermarket Type2,0.8914814715878627,Non-Consumable,4
FDG58,10.695,Regular,0.086916126,Snack Foods,153.7972,OUT049,1999,Medium,Tier 1,Supermarket Type1,1.0011579532109331,Food,14
DRF48,5.73,Low Fat,0.051758358,Soft Drinks,189.0898,OUT013,1987,High,Tier 3,Supermarket Type1,0.9358345771492667,Drinks,26
DRH36,16.2,Low Fat,0.033431957000000005,Soft Drinks,73.3696,OUT049,1999,Medium,Tier 1,Supermarket Type1,1.0012924692149043,Drinks,14
NCR30,20.6,Non-Edible,0.070979549,Household,75.5696,OUT035,2004,Small,Tier 2,Supermarket Type1,1.0186972728744224,Non-Consumable,9
FDB03,17.75,Regular,0.274592283,Dairy,242.2538,OUT019,1985,Small,Tier 1,Grocery Store,1.3620138405823745,Food,28
FDZ28,20.0,Regular,0.051243144000000004,Frozen Foods,126.1678,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.8658720528408279,Food,28
FDR35,12.5,Low Fat,0.020814797,Breads,198.4742,OUT017,2007,Small,Tier 2,Supermarket Type1,1.0,Food,6
DRD15,10.6,Low Fat,0.056520886,Dairy,232.6642,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.9935388351080392,Drinks,28
FDJ33,8.895,Regular,0.154640734,Snack Foods,124.273,OUT019,1985,Small,Tier 1,Grocery Store,1.414384868207384,Food,28
FDA56,9.21,Low Fat,0.014670454,Fruits and Vegetables,120.2414,OUT010,1998,Small,Tier 3,Grocery Store,1.4295749886688736,Food,15
FDP56,8.185,Low Fat,0.046484138,Fruits and Vegetables,47.9692,OUT046,1997,Small,Tier 1,Supermarket Type1,0.8421319211753167,Food,16
NCT30,9.1,Non-Edible,0.08029289,Household,48.1718,OUT046,1997,Small,Tier 1,Supermarket Type1,1.000912506654071,Non-Consumable,16
FDK15,10.8,Low Fat,0.098970494,Meat,100.3042,OUT017,2007,Small,Tier 2,Supermarket Type1,1.0039366022119915,Food,6
FDH44,19.1,Regular,0.06568385968808309,Fruits and Vegetables,146.9418,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.6801612640755008,Food,4
FDV01,19.2,Regular,0.084879879,Canned,154.6314,OUT013,1987,High,Tier 3,Supermarket Type1,0.9995080799199856,Food,26
DRG03,14.5,Low Fat,0.062337196,Dairy,152.4998,OUT017,2007,Small,Tier 2,Supermarket Type1,1.0033862307639991,Drinks,6
FDG50,12.675975975975975,Low Fat,0.015197838,Canned,89.7146,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.7247976507492528,Food,28
FDR16,5.845,Regular,0.175778605,Frozen Foods,214.9218,OUT010,1998,Small,Tier 3,Grocery Store,1.6047323381317815,Food,15
FDZ60,20.5,Low Fat,0.119361811,Baking Goods,107.8596,OUT046,1997,Small,Tier 1,Supermarket Type1,0.9996015416676943,Food,16
DRG03,14.5,Low Fat,0.062112285,Dairy,154.2998,OUT045,2002,Small,Tier 2,Supermarket Type1,0.9997660390481679,Drinks,11
FDS56,5.785,Regular,0.038914742999999995,Fruits and Vegetables,264.0252,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.0036523575618161,Food,4
FDU33,7.63,Regular,0.134982959,Snack Foods,45.2402,OUT045,2002,Small,Tier 2,Supermarket Type1,1.0003144236934804,Food,11
DRD27,18.75,Low Fat,0.023835413,Dairy,99.1042,OUT035,2004,Small,Tier 2,Supermarket Type1,0.6950073532660321,Drinks,9
FDW22,9.695,Regular,0.06568385968808309,Snack Foods,223.1114,OUT046,1997,Small,Tier 1,Supermarket Type1,1.7558094201834775,Food,16
DRA24,19.35,Regular,0.040009212,Soft Drinks,163.2868,OUT045,2002,Small,Tier 2,Supermarket Type1,0.9999941680437858,Drinks,11
FDF38,11.8,Regular,0.026398984,Canned,38.9138,OUT049,1999,Medium,Tier 1,Supermarket Type1,1.0001742984449702,Food,14
FDX48,17.75,Regular,0.037856363999999997,Baking Goods,154.3656,OUT013,1987,High,Tier 3,Supermarket Type1,0.9995478235508242,Food,26
FDS58,9.285,Regular,0.021092185,Snack Foods,160.8578,OUT018,2009,Medium,Tier 3,Supermarket Type2,0.8445118631515203,Food,4
FDC32,18.35,Low Fat,0.099109001,Fruits and Vegetables,92.9462,OUT046,1997,Small,Tier 1,Supermarket Type1,0.8794951437916821,Food,16
NCQ29,12.0,Non-Edible,0.104441517,Health and Hygiene,261.7278,OUT045,2002,Small,Tier 2,Supermarket Type1,0.9138318333657732,Non-Consumable,11
DRK39,7.02,Low Fat,0.05006853,Dairy,84.025,OUT018,2009,Medium,Tier 3,Supermarket Type2,0.8037218480641413,Drinks,4
NCS38,8.6,Non-Edible,0.090701591,Household,114.2176,OUT017,2007,Small,Tier 2,Supermarket Type1,0.9295987477787773,Non-Consumable,6
DRO47,10.195,Low Fat,0.112131275,Hard Drinks,112.086,OUT013,1987,High,Tier 3,Supermarket Type1,1.0003838582579696,Drinks,26
DRG27,8.895,Low Fat,0.104601689,Dairy,42.3138,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.9952090567585365,Drinks,28
FDC57,20.1,Regular,0.054330154000000005,Fruits and Vegetables,191.482,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.8940960444859328,Food,28
FDS55,7.02,Low Fat,0.081164178,Fruits and Vegetables,146.7734,OUT046,1997,Small,Tier 1,Supermarket Type1,0.7480005056945658,Food,16
NCJ06,20.1,Non-Edible,0.034793779,Household,119.8782,OUT018,2009,Medium,Tier 3,Supermarket Type2,0.9023205675266067,Non-Consumable,4
FDO01,21.1,Regular,0.036275691,Breakfast,129.5994,OUT019,1985,Small,Tier 1,Grocery Store,1.3616339527406747,Food,28
NCM55,15.6,Non-Edible,0.066861456,Others,185.7924,OUT045,2002,Small,Tier 2,Supermarket Type1,1.0010446335535403,Non-Consumable,11
FDC52,11.15,Regular,0.008292773,Dairy,152.2708,OUT049,1999,Medium,Tier 1,Supermarket Type1,0.4196324197793009,Food,14
FDQ15,20.35,Regular,0.151379828,Meat,80.1276,OUT045,2002,Small,Tier 2,Supermarket Type1,0.9981160719057139,Food,11
NCT30,9.1,Non-Edible,0.079904068,Household,47.5718,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.9960655419643922,Non-Consumable,28
NCR42,9.105,Non-Edible,0.038295533,Household,32.39,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.823658476711832,Non-Consumable,28
FDD28,10.695,Low Fat,0.06568385968808309,Frozen Foods,57.8904,OUT035,2004,Small,Tier 2,Supermarket Type1,1.0289752193945163,Food,9
FDQ34,10.85,Low Fat,0.162494861,Snack Foods,104.5622,OUT049,1999,Medium,Tier 1,Supermarket Type1,1.0032039055339623,Food,14
FDZ12,9.17,Low Fat,0.10248013800000001,Baking Goods,142.747,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.9944979050504793,Food,28
DRE13,6.28,Low Fat,0.048508058,Soft Drinks,86.1198,OUT019,1985,Small,Tier 1,Grocery Store,1.360555796756206,Drinks,28
NCN07,18.5,Non-Edible,0.059432784,Others,133.0284,OUT019,1985,Small,Tier 1,Grocery Store,1.4000677158471682,Non-Consumable,28
FDM28,15.7,Low Fat,0.045195307000000004,Frozen Foods,180.766,OUT035,2004,Small,Tier 2,Supermarket Type1,0.9986379219253848,Food,9
FDI10,8.51,Regular,0.078847814,Snack Foods,171.5422,OUT017,2007,Small,Tier 2,Supermarket Type1,1.0033349104812628,Food,6
FDQ25,8.63,Regular,0.028253161000000002,Canned,170.4422,OUT013,1987,High,Tier 3,Supermarket Type1,0.9974591203799079,Food,26
FDA38,5.44,Low Fat,0.042648161,Dairy,241.5538,OUT010,1998,Small,Tier 3,Grocery Store,1.504208562013951,Food,15
DRI13,15.35,Low Fat,0.020358565,Soft Drinks,216.5508,OUT049,1999,Medium,Tier 1,Supermarket Type1,1.001917643626756,Drinks,14
FDY20,12.5,Regular,0.081356869,Fruits and Vegetables,90.2488,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.8384037647509053,Food,28
NCZ53,9.6,Non-Edible,0.024472537000000003,Health and Hygiene,187.2214,OUT035,2004,Small,Tier 2,Supermarket Type1,0.9979409152995438,Non-Consumable,9
NCM31,6.095,Non-Edible,0.08112904900000001,Others,143.8154,OUT013,1987,High,Tier 3,Supermarket Type1,0.91187857204924,Non-Consumable,26
DRB01,7.39,Low Fat,0.08270456400000001,Soft Drinks,189.053,OUT017,2007,Small,Tier 2,Supermarket Type1,0.9044824595218774,Drinks,6
DRF37,17.25,Low Fat,0.084332638,Soft Drinks,262.091,OUT046,1997,Small,Tier 1,Supermarket Type1,1.0010971402874393,Drinks,16
NCF42,17.35,Non-Edible,0.167643297,Household,177.1712,OUT049,1999,Medium,Tier 1,Supermarket Type1,1.0,Non-Consumable,14
FDF16,7.3,Low Fat,0.08648324,Frozen Foods,148.9076,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.0021272041352005,Food,4
FDB41,19.0,Regular,0.09723214699999999,Frozen Foods,47.8718,OUT013,1987,High,Tier 3,Supermarket Type1,0.9987841871229288,Food,26
FDR34,17.0,Regular,0.015952023,Snack Foods,227.3352,OUT013,1987,High,Tier 3,Supermarket Type1,0.8422898597874797,Food,26
FDR15,9.3,Regular,0.033574203999999996,Meat,155.7314,OUT018,2009,Medium,Tier 3,Supermarket Type2,0.8191979760413741,Food,4
NCV42,6.26,Non-Edible,0.05501583,Household,111.8228,OUT019,1985,Small,Tier 1,Grocery Store,1.5812055944053875,Non-Consumable,28
FDW51,6.155,Regular,0.09464197199999999,Meat,212.05599999999998,OUT035,2004,Small,Tier 2,Supermarket Type1,0.9994754975090829,Food,9
FDU36,6.15,Low Fat,0.046532678,Baking Goods,97.2384,OUT017,2007,Small,Tier 2,Supermarket Type1,1.0018072505679836,Food,6
FDX60,14.35,Low Fat,0.080719435,Baking Goods,80.99600000000001,OUT049,1999,Medium,Tier 1,Supermarket Type1,1.0008713171533932,Food,14
FDY03,17.6,Regular,0.076107437,Meat,113.0202,OUT035,2004,Small,Tier 2,Supermarket Type1,0.9991286834502965,Food,9
FDW55,12.6,Regular,0.022014451,Fruits and Vegetables,248.2092,OUT045,2002,Small,Tier 2,Supermarket Type1,0.6681344661229127,Food,11
FDT01,13.65,Regular,0.308258994,Canned,213.0902,OUT010,1998,Small,Tier 3,Grocery Store,1.6656056727002617,Food,15
FDG58,10.695,Regular,0.08670898699999999,Snack Foods,154.6972,OUT013,1987,High,Tier 3,Supermarket Type1,0.9987719879497783,Food,26
FDK21,7.905,Low Fat,0.010068951999999999,Snack Foods,249.4408,OUT017,2007,Small,Tier 2,Supermarket Type1,1.0052472981042178,Food,6
NCS41,12.849999999999998,Non-Edible,0.09357356900000001,Health and Hygiene,182.4608,OUT019,1985,Small,Tier 1,Grocery Store,1.4163655961745316,Non-Consumable,28
FDS10,19.2,Low Fat,0.035256945,Snack Foods,181.7318,OUT045,2002,Small,Tier 2,Supermarket Type1,0.853611516260008,Food,11
NCT53,5.4,Non-Edible,0.048116257999999995,Health and Hygiene,164.9526,OUT046,1997,Small,Tier 1,Supermarket Type1,0.8704882747257964,Non-Consumable,16
FDJ28,12.3,Low Fat,0.021950037000000002,Frozen Foods,190.7162,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.0027429152495086,Food,4
FDX44,9.3,Low Fat,0.043053682,Fruits and Vegetables,87.6172,OUT045,2002,Small,Tier 2,Supermarket Type1,0.8010032105667766,Food,11
FDT20,10.5,Low Fat,0.041564073,Fruits and Vegetables,38.4164,OUT018,2009,Medium,Tier 3,Supermarket Type2,0.8177549374182673,Food,4
FDO44,12.6,Low Fat,0.087947879,Fruits and Vegetables,109.9228,OUT017,2007,Small,Tier 2,Supermarket Type1,1.0703353041401162,Food,6
NCX17,21.25,Non-Edible,0.113780055,Health and Hygiene,234.93,OUT049,1999,Medium,Tier 1,Supermarket Type1,1.0024186328872227,Non-Consumable,14
FDY01,11.8,Regular,0.171246685,Canned,116.5834,OUT017,2007,Small,Tier 2,Supermarket Type1,1.0049424230492918,Food,6
FDJ12,8.895,Regular,0.038852056,Baking Goods,209.5296,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.8771250373305882,Food,28
DRK35,8.365,Low Fat,0.072139167,Hard Drinks,36.7506,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.0024489064589521,Drinks,4
FDD47,7.6,Regular,0.249342884,Starchy Foods,168.5448,OUT019,1985,Small,Tier 1,Grocery Store,1.4726323604643157,Food,28
NCM53,18.75,Non-Edible,0.052031075,Health and Hygiene,106.228,OUT035,2004,Small,Tier 2,Supermarket Type1,0.8567486317734935,Non-Consumable,9
FDO45,13.15,Regular,0.037921193,Snack Foods,87.3856,OUT013,1987,High,Tier 3,Supermarket Type1,0.8161416124717665,Food,26
NCM42,6.13,Non-Edible,0.047404370999999994,Household,109.3912,OUT010,1998,Small,Tier 3,Grocery Store,1.5267806520656184,Non-Consumable,15
FDE04,19.75,Regular,0.06568385968808309,Frozen Foods,179.666,OUT046,1997,Small,Tier 1,Supermarket Type1,1.9367263708116214,Food,16
NCI30,20.25,Non-Edible,0.058650124000000005,Household,247.84599999999998,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.8523252047281905,Non-Consumable,28
FDZ19,6.425,Low Fat,0.093377128,Fruits and Vegetables,174.6712,OUT013,1987,High,Tier 3,Supermarket Type1,0.8973983546575738,Food,26
FDW57,8.31,Regular,0.11558111199999999,Snack Foods,177.5028,OUT013,1987,High,Tier 3,Supermarket Type1,1.0011246274210974,Food,26
FDA25,16.5,Regular,0.06568385968808309,Canned,102.29899999999999,OUT013,1987,High,Tier 3,Supermarket Type1,0.8185139461139266,Food,26
FDT22,10.395,Low Fat,0.112097216,Snack Foods,59.022,OUT046,1997,Small,Tier 1,Supermarket Type1,0.8410968049425952,Food,16
FDP51,13.85,Regular,0.085204025,Meat,118.9124,OUT013,1987,High,Tier 3,Supermarket Type1,0.9986060551661238,Food,26
FDD48,10.394999999999998,Low Fat,0.030012643999999998,Baking Goods,116.1176,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.9076186248880974,Food,28
FDY39,5.305,Regular,0.0470198,Meat,182.7608,OUT035,2004,Small,Tier 2,Supermarket Type1,0.9984803031169753,Food,9
FDO48,15.0,Regular,0.04492594,Baking Goods,221.9456,OUT010,1998,Small,Tier 3,Grocery Store,1.4744560664049742,Food,15
FDD23,9.5,Regular,0.048449768,Starchy Foods,185.5898,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.9947576166296577,Food,28
DRN35,8.01,Low Fat,0.069907412,Hard Drinks,36.9532,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.9942156390434218,Drinks,28
FDT01,13.65,Regular,0.184132888,Canned,214.0902,OUT035,2004,Small,Tier 2,Supermarket Type1,0.9949191710639331,Food,9
FDC20,10.65,Low Fat,0.040123315,Fruits and Vegetables,54.6272,OUT010,1998,Small,Tier 3,Grocery Store,1.4337571381770404,Food,15
DRJ35,10.1,Low Fat,0.046575742999999996,Hard Drinks,62.1878,OUT035,2004,Small,Tier 2,Supermarket Type1,0.923858249181555,Drinks,9
FDB32,20.6,Low Fat,0.023452939,Fruits and Vegetables,93.6778,OUT046,1997,Small,Tier 1,Supermarket Type1,0.9993128294995544,Food,16
FDL24,10.3,Regular,0.024896589,Baking Goods,173.2422,OUT046,1997,Small,Tier 1,Supermarket Type1,0.997179777475481,Food,16
NCV42,6.26,Non-Edible,0.031416038,Household,112.5228,OUT035,2004,Small,Tier 2,Supermarket Type1,0.9029258495173524,Non-Consumable,9
FDZ46,7.485,Low Fat,0.06912372,Snack Foods,109.2228,OUT046,1997,Small,Tier 1,Supermarket Type1,1.0009125052077827,Food,16
FDC15,18.1,Low Fat,0.17782095399999998,Dairy,155.7288,OUT013,1987,High,Tier 3,Supermarket Type1,0.9999349331625358,Food,26
FDD08,8.3,Low Fat,0.061900923,Fruits and Vegetables,37.8506,OUT019,1985,Small,Tier 1,Grocery Store,1.2905617590840874,Food,28
FDY50,5.8,Low Fat,0.06568385968808309,Dairy,88.8172,OUT049,1999,Medium,Tier 1,Supermarket Type1,0.6684336048449283,Food,14
FDD36,13.3,Low Fat,0.021255857000000003,Baking Goods,119.1124,OUT013,1987,High,Tier 3,Supermarket Type1,0.9978380530805535,Food,26
FDG57,12.675975975975975,Low Fat,0.071948252,Fruits and Vegetables,48.8034,OUT027,1985,Medium,Tier 3,Supermarket Type2,1.0,Food,28
FDL21,15.85,Regular,0.007175526,Snack Foods,40.848,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.0024590228634012,Food,4
FDN16,12.6,Regular,0.06239666,Frozen Foods,101.999,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.8380427071963665,Food,28
FDJ09,12.675975975975975,Low Fat,0.058112049000000006,Snack Foods,45.5744,OUT027,1985,Medium,Tier 3,Supermarket Type2,1.0,Food,28
FDS01,11.6,Low Fat,0.02970149,Canned,179.3686,OUT010,1998,Small,Tier 3,Grocery Store,1.3671914689813627,Food,15
FDV33,9.6,Regular,0.027498277,Snack Foods,260.2304,OUT017,2007,Small,Tier 2,Supermarket Type1,1.0057085491067648,Food,6
DRE12,4.59,Low Fat,0.071180921,Soft Drinks,114.186,OUT017,2007,Small,Tier 2,Supermarket Type1,1.000787579264869,Drinks,6
FDR07,21.35,Low Fat,0.077679213,Fruits and Vegetables,97.2094,OUT013,1987,High,Tier 3,Supermarket Type1,0.9978011906671067,Food,26
FDP48,7.52,Regular,0.07368583299999999,Baking Goods,183.895,OUT010,1998,Small,Tier 3,Grocery Store,1.2344429633027467,Food,15
NCB55,15.7,Non-Edible,0.160632642,Household,57.8562,OUT035,2004,Small,Tier 2,Supermarket Type1,0.8689398127580886,Non-Consumable,9
FDQ08,15.7,Regular,0.018914599,Fruits and Vegetables,59.6536,OUT013,1987,High,Tier 3,Supermarket Type1,0.9975730043515286,Food,26
FDR34,17.0,Regular,0.01596229,Snack Foods,230.8352,OUT035,2004,Small,Tier 2,Supermarket Type1,0.8428319722198927,Food,9
FDO33,14.75,Low Fat,0.08932246099999999,Snack Foods,112.2518,OUT046,1997,Small,Tier 1,Supermarket Type1,0.9996966558620876,Food,16
FDP13,8.1,Regular,0.13459596699999998,Canned,38.448,OUT045,2002,Small,Tier 2,Supermarket Type1,0.8818665911689368,Food,11
FDX12,18.2,Regular,0.06568385968808309,Baking Goods,243.0196,OUT049,1999,Medium,Tier 1,Supermarket Type1,1.5662241735379279,Food,14
NCT06,17.1,Non-Edible,0.03879778,Household,166.3842,OUT049,1999,Medium,Tier 1,Supermarket Type1,1.0009620104925396,Non-Consumable,14
FDR16,5.845,Regular,0.06568385968808309,Frozen Foods,213.7218,OUT019,1985,Small,Tier 1,Grocery Store,0.5996464344154822,Food,28
FDE36,5.26,Regular,0.041772386,Baking Goods,165.0868,OUT046,1997,Small,Tier 1,Supermarket Type1,0.7374857379053984,Food,16
FDZ36,6.035,Regular,0.065886059,Baking Goods,184.924,OUT049,1999,Medium,Tier 1,Supermarket Type1,0.7792102511738905,Food,14
FDV13,17.35,Regular,0.027666862999999996,Canned,87.9856,OUT045,2002,Small,Tier 2,Supermarket Type1,1.000153917173076,Food,11
NCZ17,12.15,Non-Edible,0.079416624,Health and Hygiene,36.2506,OUT035,2004,Small,Tier 2,Supermarket Type1,0.999633158559182,Non-Consumable,9
FDU56,16.85,Low Fat,0.044504129,Fruits and Vegetables,183.5266,OUT045,2002,Small,Tier 2,Supermarket Type1,0.912226488718869,Food,11
FDM09,11.15,Regular,0.085915295,Snack Foods,170.77900000000002,OUT035,2004,Small,Tier 2,Supermarket Type1,0.8884288421938019,Food,9
FDV02,16.75,Low Fat,0.060888099,Dairy,171.9106,OUT017,2007,Small,Tier 2,Supermarket Type1,1.0038269990313566,Food,6
FDS34,19.35,Regular,0.07707176,Snack Foods,112.8518,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.0029898792125584,Food,4
FDA11,7.75,Low Fat,0.043306047,Baking Goods,95.3436,OUT049,1999,Medium,Tier 1,Supermarket Type1,0.8009034618690614,Food,14
FDP09,19.75,Low Fat,0.034081551,Snack Foods,211.7902,OUT017,2007,Small,Tier 2,Supermarket Type1,0.8851600569256681,Food,6
FDB29,16.7,Regular,0.05215787,Frozen Foods,114.4176,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.9975728497472869,Food,28
FDT19,7.59,Regular,0.06568385968808309,Fruits and Vegetables,172.808,OUT017,2007,Small,Tier 2,Supermarket Type1,0.38526307766395923,Food,6
DRH15,8.775,Low Fat,0.110532975,Dairy,44.2428,OUT017,2007,Small,Tier 2,Supermarket Type1,1.0048108517800234,Drinks,6
FDY38,13.6,Regular,0.119176431,Dairy,233.93,OUT046,1997,Small,Tier 1,Supermarket Type1,1.0002395720212796,Food,16
FDF14,7.55,Low Fat,0.027038245,Canned,151.834,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.9955559569785132,Food,28
FDN48,13.35,Low Fat,0.108714206,Baking Goods,93.2804,OUT010,1998,Small,Tier 3,Grocery Store,1.4733659568469852,Food,15
FDQ12,12.65,Low Fat,0.03538128,Baking Goods,230.701,OUT013,1987,High,Tier 3,Supermarket Type1,0.8788919089251525,Food,26
NCJ43,6.635,Non-Edible,0.027124298999999998,Household,172.9396,OUT045,2002,Small,Tier 2,Supermarket Type1,0.7792959139795715,Non-Consumable,11
FDE17,20.1,Regular,0.095344543,Frozen Foods,152.3366,OUT019,1985,Small,Tier 1,Grocery Store,1.4006586552567475,Food,28
FDB05,5.155,Low Fat,0.08318261,Frozen Foods,248.8776,OUT035,2004,Small,Tier 2,Supermarket Type1,0.9976685727951149,Food,9
FDH10,21.0,Low Fat,0.049405001,Snack Foods,192.8478,OUT045,2002,Small,Tier 2,Supermarket Type1,1.0010129772956868,Food,11
NCR06,12.5,Non-Edible,0.006803416,Household,40.8112,OUT017,2007,Small,Tier 2,Supermarket Type1,1.0039208140395415,Non-Consumable,6
FDU32,8.785,Low Fat,0.026073405,Fruits and Vegetables,121.4414,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.0007429075539958,Food,4
FDD56,15.2,Regular,0.10393961800000001,Fruits and Vegetables,173.6054,OUT049,1999,Medium,Tier 1,Supermarket Type1,0.8439918148408322,Food,14
FDO36,19.7,Low Fat,0.078231229,Baking Goods,181.46599999999998,OUT018,2009,Medium,Tier 3,Supermarket Type2,0.9080746488529895,Food,4
FDH16,10.5,Low Fat,0.087966875,Frozen Foods,91.583,OUT010,1998,Small,Tier 3,Grocery Store,1.4306834280618763,Food,15
FDX10,6.385,Regular,0.12421447099999999,Snack Foods,35.5874,OUT018,2009,Medium,Tier 3,Supermarket Type2,0.9499508401827373,Food,4
FDZ37,8.1,Regular,0.019880322,Canned,88.0198,OUT017,2007,Small,Tier 2,Supermarket Type1,1.0030237447091228,Food,6
FDU31,10.5,Regular,0.041829904,Fruits and Vegetables,217.8508,OUT010,1998,Small,Tier 3,Grocery Store,1.3518840897587814,Food,15
DRC49,8.67,Low Fat,0.065538317,Soft Drinks,141.8128,OUT049,1999,Medium,Tier 1,Supermarket Type1,0.8885133932395273,Drinks,14
FDL15,17.85,Low Fat,0.046729335999999996,Meat,152.5682,OUT045,2002,Small,Tier 2,Supermarket Type1,0.9138284922284712,Food,11
FDN32,17.5,Low Fat,0.06568385968808309,Fruits and Vegetables,186.0266,OUT019,1985,Small,Tier 1,Grocery Store,2.3715170844957316,Food,28
DRH59,10.8,Low Fat,0.058150482999999996,Hard Drinks,74.138,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.9941808023503572,Drinks,28
NCU29,7.685,Non-Edible,0.025517058,Health and Hygiene,147.476,OUT049,1999,Medium,Tier 1,Supermarket Type1,0.9121525116717687,Non-Consumable,14
FDR37,16.5,Regular,0.06568385968808309,Breakfast,183.7292,OUT019,1985,Small,Tier 1,Grocery Store,0.9910676842923748,Food,28
FDS14,7.285,Low Fat,0.050167414,Dairy,156.9288,OUT018,2009,Medium,Tier 3,Supermarket Type2,0.8728559733204717,Food,4
FDU02,13.35,Low Fat,0.102015088,Dairy,227.2352,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.9955402246819587,Food,28
FDJ08,11.1,Low Fat,0.11065117699999999,Fruits and Vegetables,192.7846,OUT035,2004,Small,Tier 2,Supermarket Type1,1.0012787342646654,Food,9
NCZ06,19.6,Non-Edible,0.09435262400000001,Household,253.8698,OUT045,2002,Small,Tier 2,Supermarket Type1,1.001107537917379,Non-Consumable,11
FDO31,6.76,Regular,0.029027742999999998,Fruits and Vegetables,81.396,OUT049,1999,Medium,Tier 1,Supermarket Type1,0.7790490555548804,Food,14
FDH31,12.0,Regular,0.020494302,Meat,101.2042,OUT018,2009,Medium,Tier 3,Supermarket Type2,0.5317429259733283,Food,4
FDS58,9.285,Regular,0.021125435,Snack Foods,159.7578,OUT017,2007,Small,Tier 2,Supermarket Type1,0.8458431628461602,Food,6
NCA53,11.395,Non-Edible,0.009830621999999999,Health and Hygiene,48.9034,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.3453741131432793,Non-Consumable,28
FDF50,4.905,Low Fat,0.06568385968808309,Canned,197.7768,OUT046,1997,Small,Tier 1,Supermarket Type1,0.6779880904338939,Food,16
NCW42,18.2,Non-Edible,0.058559885,Household,222.6456,OUT049,1999,Medium,Tier 1,Supermarket Type1,0.9769439191173372,Non-Consumable,14
NCQ17,10.3,Non-Edible,0.117169698,Health and Hygiene,156.16299999999998,OUT045,2002,Small,Tier 2,Supermarket Type1,0.8706829644670281,Non-Consumable,11
FDK51,19.85,Low Fat,0.005256469000000001,Dairy,264.0884,OUT018,2009,Medium,Tier 3,Supermarket Type2,0.148194097693348,Food,4
NCW41,18.0,Non-Edible,0.025860761,Health and Hygiene,157.1604,OUT010,1998,Small,Tier 3,Grocery Store,1.3656065409044242,Non-Consumable,15
NCR29,7.565,Non-Edible,0.054949947,Health and Hygiene,54.993,OUT017,2007,Small,Tier 2,Supermarket Type1,0.8733826304978909,Non-Consumable,6
